dataset,experiment,seed,trainer,best_epoch,best_val_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1,test_auc,features,graph_layers,pooling,reverse_edges
gossipcop,profile_only_graph,42,graph,27,0.9723560167011513,0.9652650822669104,0.9577981651376147,0.9720670391061452,0.9648798521256932,0.9652609025547092,0.9801644216656803,profile,2,mean_max,True
gossipcop,profile_only_graph,43,graph,30,0.970504422986022,0.9579524680073126,0.9640831758034026,0.9497206703910615,0.9568480300187617,0.957924906274978,0.9816521736223249,profile,2,mean_max,True
gossipcop,profile_only_graph,44,graph,33,0.9741913701127694,0.9497257769652651,0.9688715953307393,0.9273743016759777,0.9476688867745005,0.9496479878023778,0.9771855744895672,profile,2,mean_max,True
gossipcop,bert_profile_no_graph,42,graph,6,0.9797392345708165,0.9488117001828154,0.9302325581395349,0.9683426443202979,0.948905109489051,0.9488115291034999,0.979258397440398,bert profile,0,mean_max,True
gossipcop,bert_profile_no_graph,43,graph,13,0.9778783172395165,0.9378427787934186,0.9271402550091075,0.9478584729981379,0.9373848987108656,0.9378394548000789,0.9766707120146836,bert profile,0,mean_max,True
gossipcop,bert_profile_no_graph,44,graph,5,0.977891156462585,0.9296160877513712,0.8979238754325259,0.9664804469273743,0.9309417040358744,0.9295901437234357,0.9771053361817933,bert profile,0,mean_max,True
gossipcop,graph_size_control,42,size_control,0,0.8021652043466629,0.7458866544789763,0.7448015122873346,0.7337057728119181,0.7392120075046904,0.7457200857487801,0.7948507065985979,graph_size,0,size_only,
gossipcop,graph_size_control,43,size_control,0,0.8021652043466629,0.7458866544789763,0.7448015122873346,0.7337057728119181,0.7392120075046904,0.7457200857487801,0.7948507065985979,graph_size,0,size_only,
gossipcop,graph_size_control,44,size_control,0,0.8021652043466629,0.7458866544789763,0.7448015122873346,0.7337057728119181,0.7392120075046904,0.7457200857487801,0.7948507065985979,graph_size,0,size_only,
gossipcop,bert_profile_graph_mean_pool,42,graph,30,0.9778783172395165,0.9625228519195612,0.9769230769230769,0.9459962756052142,0.9612109744560076,0.9624799346196926,0.9870816324483717,bert profile,2,mean,True
gossipcop,bert_profile_graph_mean_pool,43,graph,20,0.977891156462585,0.9561243144424132,0.9729206963249516,0.9366852886405959,0.9544592030360531,0.9560655803540055,0.9844504846059463,bert profile,2,mean,True
gossipcop,bert_profile_graph_mean_pool,44,graph,33,0.981554054054054,0.9634369287020109,0.9697542533081286,0.9553072625698324,0.9624765478424016,0.9634129619782418,0.985346479042757,bert profile,2,mean,True
gossipcop,bert_profile_graph_root_pool,42,graph,17,0.9760554590382378,0.9542961608775137,0.9568480300187617,0.9497206703910615,0.9532710280373832,0.9542741544480298,0.9819580821707137,bert profile,2,root,True
gossipcop,bert_profile_graph_root_pool,43,graph,23,0.9815652643662638,0.9396709323583181,0.9305301645338209,0.9478584729981379,0.9391143911439115,0.9396658912241296,0.9752498253145174,bert profile,2,root,True
gossipcop,bert_profile_graph_root_pool,44,graph,9,0.976068376068376,0.9488117001828154,0.9512195121951219,0.9441340782122905,0.9476635514018692,0.9487870529817932,0.9774630653039528,bert profile,2,root,True
gossipcop,bert_profile_no_graph_mean_pool,42,graph,19,0.9797156955125282,0.9597806215722121,0.9842829076620825,0.9329608938547486,0.9579349904397706,0.9597030468836332,0.987656673654086,bert profile,0,mean,True
gossipcop,bert_profile_no_graph_mean_pool,43,graph,16,0.9760276401511697,0.9597806215722121,0.9659735349716446,0.9515828677839852,0.9587242026266416,0.9597542581760659,0.983624698688438,bert profile,0,mean,True
gossipcop,bert_profile_no_graph_mean_pool,44,graph,15,0.977891156462585,0.9680073126142597,0.9613970588235294,0.9739292364990689,0.967622571692877,0.968002794428191,0.9881715361289697,bert profile,0,mean,True
gossipcop,bert_profile_no_graph_root_pool,42,graph,30,0.9042983496925898,0.8656307129798904,0.8482142857142857,0.8845437616387337,0.8659981768459435,0.865629702538462,0.9410348735745162,bert profile,0,root,True
gossipcop,bert_profile_no_graph_root_pool,43,graph,12,0.8835178305966334,0.8455210237659964,0.8445692883895131,0.839851024208566,0.842203548085901,0.8454527140608556,0.9283538776833863,bert profile,0,root,True
gossipcop,bert_profile_no_graph_root_pool,44,graph,31,0.8972373462391612,0.8510054844606947,0.8269230769230769,0.8808193668528864,0.8530207394048692,0.8509774688683289,0.931098696461825,bert profile,0,root,True
