dataset,experiment,seed,trainer,best_epoch,best_val_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1,test_auc,features,graph_layers,pooling,reverse_edges
politifact,size_only,42,size_control,0,0.3541666666666667,0.578125,0.9142857142857143,0.5714285714285714,0.7032967032967034,0.4867834867834868,0.6796875,graph_size,0,size_only,
politifact,size_only,43,size_control,0,0.3541666666666667,0.578125,0.9142857142857143,0.5714285714285714,0.7032967032967034,0.4867834867834868,0.6796875,graph_size,0,size_only,
politifact,size_only,44,size_control,0,0.3541666666666667,0.578125,0.9142857142857143,0.5714285714285714,0.7032967032967034,0.4867834867834868,0.6796875,graph_size,0,size_only,
gossipcop,bert_only_graph_mean_pool,42,graph,13,0.9797277455808444,0.9588665447897623,0.9606741573033708,0.9553072625698324,0.957983193277311,0.9588483558150207,0.9893416781173417,bert,2,mean,True
gossipcop,bert_only_graph_mean_pool,43,graph,12,0.9778648648648649,0.9561243144424132,0.9784735812133072,0.931098696461825,0.9541984732824428,0.956046605062274,0.988074581507076,bert,2,mean,True
gossipcop,bert_only_graph_mean_pool,44,graph,7,0.977891156462585,0.9561243144424132,0.9536178107606679,0.957169459962756,0.9553903345724907,0.9561124334732958,0.9865801430247837,bert,2,mean,True
gossipcop,bert_only_graph_root_pool,42,graph,10,0.976068376068376,0.9542961608775137,0.9467889908256881,0.9608938547486033,0.9537892791127541,0.9542906612561962,0.9892580965467438,bert,2,root,True
gossipcop,bert_only_graph_root_pool,43,graph,23,0.9815652643662638,0.9597806215722121,0.9695238095238096,0.9478584729981379,0.9585687382297552,0.9597461808377905,0.9874744658301823,bert,2,root,True
gossipcop,bert_only_graph_root_pool,44,graph,7,0.9797392345708165,0.9542961608775137,0.9603024574669187,0.9459962756052142,0.9530956848030019,0.9542662024728021,0.9888669347963451,bert,2,root,True
gossipcop,bert_only_no_graph_mean_pool,42,graph,20,0.9778783172395165,0.9478976234003657,0.9316546762589928,0.9646182495344506,0.9478499542543458,0.9478975798668989,0.9790277123055475,bert,0,mean,True
gossipcop,bert_only_no_graph_mean_pool,43,graph,17,0.9778783172395165,0.9552102376599635,0.9468864468864469,0.962756052141527,0.9547553093259464,0.9552057089616157,0.9855337017608965,bert,0,mean,True
gossipcop,bert_only_no_graph_mean_pool,44,graph,14,0.9760418811409979,0.9561243144424132,0.9536178107606679,0.957169459962756,0.9553903345724907,0.9561124334732958,0.9880511786673085,bert,0,mean,True
gossipcop,bert_only_no_graph_root_pool,42,graph,2,0.7997799779977998,0.7687385740402194,0.8271889400921659,0.6685288640595903,0.7394438722966015,0.7657778112510123,0.8479450635052773,bert,0,root,True
gossipcop,bert_only_no_graph_root_pool,43,graph,4,0.7926910299003322,0.7504570383912249,0.7986425339366516,0.6573556797020484,0.7211440245148111,0.7476687864509539,0.8424086202688652,bert,0,root,True
gossipcop,bert_only_no_graph_root_pool,44,graph,5,0.7894805084022861,0.7577696526508226,0.8349753694581281,0.6312849162011173,0.71898197242842,0.753065283402965,0.8316299409245459,bert,0,root,True
gossipcop,profile_only_graph_mean_pool,42,graph,23,0.9705215419501134,0.9396709323583181,0.9385474860335196,0.9385474860335196,0.9385474860335196,0.9396507627654133,0.9753634962505308,profile,2,mean,True
gossipcop,profile_only_graph_mean_pool,43,graph,26,0.9705215419501134,0.9442413162705667,0.9407407407407408,0.9459962756052142,0.9433611884865367,0.9442278489687409,0.9725083497989029,profile,2,mean,True
gossipcop,profile_only_graph_mean_pool,44,graph,43,0.9742206154136708,0.9396709323583181,0.9572815533980582,0.9180633147113594,0.9372623574144486,0.9395818829325764,0.9776436014964445,profile,2,mean,True
gossipcop,profile_only_graph_root_pool,42,graph,45,0.9686879079730801,0.9442413162705667,0.9407407407407408,0.9459962756052142,0.9433611884865367,0.9442278489687409,0.9760522083922583,profile,2,root,True
gossipcop,profile_only_graph_root_pool,43,graph,39,0.9594189189189188,0.9442413162705667,0.9524714828897338,0.9329608938547486,0.9426152398871119,0.9441965088324449,0.970863464489534,profile,2,root,True
gossipcop,profile_only_graph_root_pool,44,graph,38,0.9594895385071969,0.9405850091407678,0.9229390681003584,0.9590316573556797,0.9406392694063926,0.9405849594973409,0.9714685950606635,profile,2,root,True
gossipcop,profile_only_no_graph_mean_pool,42,graph,48,0.9521491748462949,0.9277879341864717,0.9148550724637681,0.9404096834264432,0.9274563820018366,0.92778642575979,0.971746085875049,profile,0,mean,True
gossipcop,profile_only_no_graph_mean_pool,43,graph,49,0.9500425292536878,0.9277879341864717,0.9525691699604744,0.8975791433891993,0.9242569511025887,0.9276306589574079,0.9723311568692348,profile,0,mean,True
gossipcop,profile_only_no_graph_mean_pool,44,graph,29,0.9465549656222259,0.9058500914076782,0.9048507462686567,0.9031657355679702,0.9040074557315937,0.905815387058622,0.9609874661076732,profile,0,mean,True
gossipcop,profile_only_no_graph_root_pool,42,graph,46,0.872909744126031,0.8418647166361974,0.8215547703180212,0.8659217877094972,0.843155031731641,0.841854013561673,0.9109889705759439,profile,0,root,True
gossipcop,profile_only_no_graph_root_pool,43,graph,27,0.8707963165794491,0.8446069469835467,0.8180242634315424,0.8789571694599627,0.8473967684021544,0.8445549950018221,0.9171840365886682,profile,0,root,True
gossipcop,profile_only_no_graph_root_pool,44,graph,33,0.8676773524699419,0.8263254113345521,0.7965811965811965,0.8677839851024208,0.8306595365418895,0.8262115693966483,0.906829951622987,profile,0,root,True
gossipcop,size_only,42,size_control,0,0.8021652043466629,0.7458866544789763,0.7448015122873346,0.7337057728119181,0.7392120075046904,0.7457200857487801,0.7948507065985979,graph_size,0,size_only,
gossipcop,size_only,43,size_control,0,0.8021652043466629,0.7458866544789763,0.7448015122873346,0.7337057728119181,0.7392120075046904,0.7457200857487801,0.7948507065985979,graph_size,0,size_only,
gossipcop,size_only,44,size_control,0,0.8021652043466629,0.7458866544789763,0.7448015122873346,0.7337057728119181,0.7392120075046904,0.7457200857487801,0.7948507065985979,graph_size,0,size_only,
